"RegionName","City","State","Metro","CountyName","SizeRank","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11"
"11226","New York","NY","New York","Kings",1,,,,,,,,,,,1025,1000,1000,1087.5,1100,1100,1100,1100,1100,1100,1100,1100,1125,1125,1150,1200,1225,1250,1200,1200,1200,1300,1300,1295,1250,1299.5,1300,1300,1300,1300,1300,1295,1350,1350,1400,1400,1395,1300,1350,1399,1350,1375,1400,1400,1395,1400,1450,1450,1450
"10467","New York","NY","New York","Bronx",2,,,,,,,,,,,,,,,,,925,900,950,950,925,950,950,925,925,950,1000,997.5,975,995,1000,984,995,1000,995,995,975,975,975,995,995,999.5,997.5,1027.5,1100,1100,1100,1100,1100,1100,1100,1100,1128,1200,1100,1200,1150,1150,1187.5
"10025","New York","NY","New York","New York",3,,,1650,1595,1595,1650,1700,1725,1850,1850,1895,1850,1850,1850,1825,1875,1875,1875,1900,1950,2000,2000,2100,2000,2000,2100,2100,2050,2112.5,2085,1950,2050,2150,2195,2195,2200,2250,2195,2200,2200,2250,2150,2275,2000,2150,2150,2295,2300,2200,2158.5,2250,2250,2250,2250,2150,2250,2276.5,2351,2350
"11373","New York","NY","New York","Queens",4,,,,,,,,1175,1175,1175,1180,1180,1200,1195,1195,1200,1200,1225,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1275,1300,1350,1350,1350,1300,1300,1300,1300,1300,1350,1350,1347.5,1325,1300,1300,1397.5,1340,1325,1425,1450,1425,1450,1450,1450,1450,1450,1475,1500,1450,1450
"60647","Chicago","IL","Chicago","Cook",5,,,,,,,,,,,,,,,,,,,,,,,,,,,850,950,895,850,850,825,825,850,850,875,875,875,875,875,875,875,895,875,875,875,875,875,875,895,895,935,960,950,950,995,950,895,895
"11377","New York","NY","New York","Queens",6,,,,,,,,,,,,,,,,,,,,,,1320,1315,1300,1315,1315,1350,1350,1355,1400,1400,1425,1400,1395,1350,1397.5,1400,1400,1425,1425,1450,1450,1485,1487.5,1450,1450,1450,1450,1495,1500,1500,1500,1500,1550,1600,1600,1600,1500,1497.5
"10029","New York","NY","New York","New York",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2400,2350,2600,2600,2600,2500,2600,2600,2600,2400,2350,2650,2650,2800,2800,2800,2800,2750,2800,2800,2800,2750,2750,2800,2800,2800,2800,2750,2800,2800
"10462","New York","NY","New York","Bronx",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1050,1050,1050,1050,1050,1095,1075,1005,1037.5,1000,1005,1050,1062.5,1050,1100,1071,1111.5,1137.5,1150,1100,1150,1200
"11229","New York","NY","New York","Kings",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1112.5,1150,1150,1150,1225,1299,1200,1249,1300,1250,1200,1200,1200,1200,1200,1225,1200,1300,1300,1300,1300
"11230","New York","NY","New York","Kings",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,1200,1225,1250,1225,1150,1150,1212.5,1247.5,1250,1200,1200,1200,1200,1275,1275,1275,1250,1300,1395,1300,1300
"11355","New York","NY","New York","Queens",11,,,,,,,,,,,1210,1172.5,1225,1199,1150,1150,1132.5,1100,1125,1150,1182.5,1200,1200,1250,1200,1250,1250,1237.5,1250,1250,1297.5,1295,1250,1250,1250,1250,1261,1272,1250,1225,1350,1337.5,1350,1350,1400,1352.5,1350,1375,1397.5,1395,1400,1375,1375,1325,1400,1400,1395,1395,1325
"11235","New York","NY","New York","Kings",12,,,,,,,,,,,,,,,,,,,,,1050,1050,1050,1095,1097.5,1100,1150,1150,1100,1100,1075,1150,1125,1150,1150,1150,1147.5,1150,1150,1184.5,1167,1200,1275,1250,1300,1350,1250,1250,1300,1300,1233.5,1250,1225,1250,1272.5,1300,1300,1312.5,1385
"10458","New York","NY","New York","Bronx",13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,948,950,950,950,950,995,950.5,950,950,1000,1000,1037.5,1012.5,1100,1097.5,1050,1085,1098,1125,1125,1125,1100,1100,1125,1100,1150,1150,1175
"11218","New York","NY","New York","Kings",14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1650,1600,1550,1450,1375,1371.5,1350,1359,1450,1500,1500,1500,1625,1600,1647.5,1595,1650
